,Marcap,Pct,Cate
2024-01-02,49138898306770,,IT서비스
2024-01-03,46972543296661,-4.408635693426877,IT서비스
2024-01-04,46588189554063,-0.8182519310708125,IT서비스
2024-01-05,46282411000571,-0.6563434991118555,IT서비스
2024-01-08,47062511863368,1.6855233898410704,IT서비스
2024-01-09,47360738270509,0.6336814490625065,IT서비스
2024-01-10,47750505530188,0.8229754727486993,IT서비스
2024-01-11,49455404308193,3.5704308448151645,IT서비스
2024-01-12,48693710354191,-1.540163233233971,IT서비스
2024-01-15,49038399647271,0.707872311583535,IT서비스
2024-01-16,48039073395498,-2.0378443402742863,IT서비스
2024-01-17,47044588674494,-2.07015799996092,IT서비스
2024-01-18,46922530774626,-0.25945151888250306,IT서비스
2024-01-19,46749558227958,-0.3686343081084176,IT서비스
2024-01-22,46492385349111,-0.5501076129810323,IT서비스
2024-01-23,46209821168066,-0.6077644305045427,IT서비스
2024-01-24,45710558271335,-1.0804259443358832,IT서비스
2024-01-25,45367341088896,-0.7508488091562682,IT서비스
2024-01-26,46037863713429,1.4779852828913365,IT서비스
2024-01-29,44580362824901,-3.165874284698522,IT서비스
2024-01-30,43942564971141,-1.430669948257457,IT서비스
2024-01-31,44020091469717,0.1764268850189321,IT서비스
2024-02-01,44291394065614,0.6163153842686508,IT서비스
2024-02-02,45156364594426,1.9529087920118648,IT서비스
2024-02-05,44647283748105,-1.1273734076986397,IT서비스
2024-02-06,44462234308203,-0.41446964824563004,IT서비스
2024-02-07,44420919513567,-0.09292109422485151,IT서비스
2024-02-08,44592913641796,0.38719173333741086,IT서비스
2024-01-02,2739888729551,,가구
2024-01-03,2719293737396,-0.7516725746149144,가구
2024-01-04,2688386831542,-1.1365784221456177,가구
2024-01-05,2686390771809,-0.07424748959415917,가구
2024-01-08,2671373601706,-0.5590091456756929,가구
2024-01-09,2685733978470,0.5375652718447643,가구
2024-01-10,2642348173908,-1.6154170483673846,가구
2024-01-11,2651582174398,0.3494619135048671,가구
2024-01-12,2618607819800,-1.2435727965129484,가구
2024-01-15,2575843064798,-1.633110337433663,가구
2024-01-16,2539998176182,-1.3915789011319624,가구
2024-01-17,2505785394918,-1.3469608594533278,가구
2024-01-18,2498764821274,-0.28017457752920194,가구
2024-01-19,2496157483378,-0.10434506976413349,가구
2024-01-22,2499305303383,0.12610662692404961,가구
2024-01-23,2505827561303,0.2609628327988389,가구
2024-01-24,2488443181915,-0.6937580085901951,가구
2024-01-25,2480944225575,-0.3013513185472494,가구
2024-01-26,2482048292627,0.044501889265324834,가구
2024-01-29,2491907386410,0.3972160337204933,가구
2024-01-30,2513269999661,0.8572795830015245,가구
2024-01-31,2517916849515,0.18489258434735145,가구
2024-02-01,2545172539735,1.0824698291863832,가구
2024-02-02,2600167935801,2.1607728044922947,가구
2024-02-05,2599611702334,-0.021392213146753658,가구
2024-02-06,2759989265389,6.1692891638781555,가구
2024-02-07,2799250638536,1.4225190524958853,가구
2024-02-08,2783898789864,-0.5484270847582629,가구
2024-01-02,5716960808045,,가스유틸리티
2024-01-03,5711420463560,-0.096910660594407,가스유틸리티
2024-01-04,5776115739560,1.1327353048645072,가스유틸리티
2024-01-05,5728380952385,-0.8264167362172059,가스유틸리티
2024-01-08,5725085917660,-0.05752122200650689,가스유틸리티
2024-01-09,5753117099410,0.4896202808683192,가스유틸리티
2024-01-10,5754470290915,0.023521014462546397,가스유틸리티
2024-01-11,5707422276910,-0.8175907012549555,가스유틸리티
2024-01-12,5688414764310,-0.3330314751178842,가스유틸리티
2024-01-15,5790026206625,1.7862875075939533,가스유틸리티
2024-01-16,5753012891560,-0.6392598883688816,가스유틸리티
2024-01-17,5656021345540,-1.6859261025173766,가스유틸리티
2024-01-18,5646008258640,-0.17703410733935776,가스유틸리티
2024-01-19,5632856879000,-0.23293234861770928,가스유틸리티
2024-01-22,5674665369415,0.7422253274509405,가스유틸리티
2024-01-23,5623504687065,-0.9015629824754567,가스유틸리티
2024-01-24,5562419276865,-1.0862516099703234,가스유틸리티
2024-01-25,5593242331690,0.5541303754860394,가스유틸리티
2024-01-26,5625771150810,0.5815735702295433,가스유틸리티
2024-01-29,5968648344415,6.094759001272787,가스유틸리티
2024-01-30,5931529164260,-0.6219026153506446,가스유틸리티
2024-01-31,5961933975250,0.5125965016441691,가스유틸리티
2024-02-01,6133411038815,2.8761986341488965,가스유틸리티
2024-02-02,6129323995235,-0.0666357358757641,가스유틸리티
2024-02-05,6215377017045,1.4039561602045891,가스유틸리티
2024-02-06,6095105956540,-1.9350565569098976,가스유틸리티
2024-02-07,6273955827380,2.934319306592137,가스유틸리티
2024-02-08,6207799210420,-1.0544641814545064,가스유틸리티
2024-01-02,9001014197539,,가정용기기와용품
2024-01-03,8958125304504,-0.4764895609955411,가정용기기와용품
2024-01-04,9226363297868,2.994354111447106,가정용기기와용품
2024-01-05,9249508974117,0.2508645660457498,가정용기기와용품
2024-01-08,9698587908415,4.855165128815631,가정용기기와용품
2024-01-09,9602627122185,-0.9894304937602239,가정용기기와용품
2024-01-10,9344847284974,-2.6844720088677554,가정용기기와용품
2024-01-11,9554600156350,2.2445831909235325,가정용기기와용품
2024-01-12,9438451229939,-1.2156335640461813,가정용기기와용품
2024-01-15,9518289459668,0.8458827384280054,가정용기기와용품
2024-01-16,9477083353968,-0.4329150303171936,가정용기기와용품
2024-01-17,9464216851012,-0.135764374707259,가정용기기와용품
2024-01-18,9551148595411,0.9185307751026883,가정용기기와용품
2024-01-19,9520682952589,-0.3189736032024215,가정용기기와용품
2024-01-22,9866193220457,3.6290491930943247,가정용기기와용품
2024-01-23,9997573522117,1.3316210084715285,가정용기기와용품
2024-01-24,10070258377215,0.7270249619790725,가정용기기와용품
2024-01-25,9904395540140,-1.6470564196275461,가정용기기와용품
2024-01-26,10376907247976,4.770727359595339,가정용기기와용품
2024-01-29,10297070484294,-0.7693695411758794,가정용기기와용품
2024-01-30,10004777011310,-2.8386080626507493,가정용기기와용품
2024-01-31,9776464765868,-2.282032324997374,가정용기기와용품
2024-02-01,9899685253920,1.2603787872502936,가정용기기와용품
2024-02-02,10451552229424,5.574591124353945,가정용기기와용품
2024-02-05,10858394992111,3.8926539690594897,가정용기기와용품
